model,attribute,group,is_reference,reference_group,n_samples,n_actual_positive,n_actual_negative,actual_positive_rate,selection_rate,predicted_positive_rate,tpr,fpr,precision,recall,f1,accuracy,true_positives,false_positives,false_negatives,true_negatives,selection_rate_ci95,tpr_ci95,small_group_flag,demographic_parity_difference,demographic_parity_ratio,disparate_impact_ratio,fails_four_fifths_rule,equal_opportunity_difference,equalized_odds_tpr_difference,equalized_odds_fpr_difference,equalized_odds_max_difference
random_forest,race,Black,False,White,944,121,823,0.1281779661016949,0.0826271186440678,0.0826271186440678,0.5206611570247934,0.018226002430133656,0.8076923076923077,0.5206611570247934,0.6331658291457286,0.9226694915254238,63,15,58,808,0.01930065152638387,0.08827262673393477,False,-0.1194572129323577,0.40887444365185416,0.40887444365185416,True,-0.10557763485817018,-0.10557763485817018,-0.039568186043136534,0.10557763485817018
random_forest,race,Asian-Pac-Islander,False,White,304,78,226,0.2565789473684211,0.2532894736842105,0.2532894736842105,0.6923076923076923,0.10176991150442478,0.7012987012987013,0.6923076923076923,0.6967741935483871,0.8453947368421053,54,23,24,203,0.05175838524078363,0.1094281145512025,False,0.05120514210778501,1.2533850185630049,1.2533850185630049,False,0.06606890042472868,0.06606890042472868,0.043975723031154594,0.06606890042472868
random_forest,race,Amer-Indian-Eskimo,False,White,104,9,95,0.08653846153846154,0.07692307692307693,0.07692307692307693,0.5555555555555556,0.031578947368421054,0.625,0.5555555555555556,0.5882352941176471,0.9326923076923077,5,3,4,92,0.06757401042356209,0.2889082098115259,True,-0.12516125465334857,0.38064839724590765,0.38064839724590765,True,-0.07068323632740803,-0.07068323632740803,-0.026215241104849137,0.07068323632740803
random_forest,race,Other,False,White,69,11,58,0.15942028985507245,0.08695652173913043,0.08695652173913043,0.45454545454545453,0.017241379310344827,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.8985507246376812,5,1,6,57,0.09006052938935816,0.26536678976455724,True,-0.11512780983729506,0.430298188191026,0.430298188191026,True,-0.17169333733750908,-0.17169333733750908,-0.04055280916292536,0.17169333733750908
xgboost,sex,Male,True,Male,6480,1971,4509,0.30416666666666664,0.2623456790123457,0.2623456790123457,0.6834094368340944,0.07828786870703039,0.7923529411764706,0.6834094368340944,0.7338599836556795,0.8492283950617284,1347,353,624,4156,0.010849607747900891,0.020875255469464116,False,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0
xgboost,sex,Female,False,Male,3289,367,2922,0.11158406810580723,0.08269990878686531,0.08269990878686531,0.5803814713896458,0.020191649555099247,0.7830882352941176,0.5803814713896458,0.6666666666666667,0.9352386743691091,213,59,154,2863,0.00990703353864926,0.051067591569113446,False,-0.17964577022548037,0.31523259349346305,0.31523259349346305,True,-0.10302796544444859,-0.10302796544444859,-0.05809621915193114,0.10302796544444859
xgboost,race,White,True,White,8348,2119,6229,0.25383325347388597,0.21550071873502635,0.21550071873502635,0.6739027843322322,0.05956012200995344,0.7937743190661478,0.6739027843322322,0.7289433384379785,0.8727839003354096,1428,371,691,5858,0.008950146663936398,0.020259219907417525,False,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0
xgboost,race,Black,False,White,944,121,823,0.1281779661016949,0.09216101694915255,0.09216101694915255,0.5785123966942148,0.020656136087484813,0.8045977011494253,0.5785123966942148,0.673076923076923,0.9279661016949152,70,17,51,806,0.02014177689326188,0.08907104227642859,False,-0.1233397017858738,0.42765990522041436,0.42765990522041436,True,-0.09539038763801733,-0.09539038763801733,-0.03890398592246863,0.09539038763801733
xgboost,race,Asian-Pac-Islander,False,White,304,78,226,0.2565789473684211,0.23026315789473684,0.23026315789473684,0.6538461538461539,0.084070796460177,0.7285714285714285,0.6538461538461539,0.6891891891891891,0.8486842105263158,51,19,27,207,0.0505164788118605,0.11054628135057953,False,0.014762439159710483,1.0685029694859718,1.0685029694859718,False,-0.02005663048607831,-0.02005663048607831,0.024510674450223556,0.024510674450223556
xgboost,race,Amer-Indian-Eskimo,False,White,104,9,95,0.08653846153846154,0.08653846153846154,0.08653846153846154,0.5555555555555556,0.042105263157894736,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.9230769230769231,5,4,4,91,0.06980020064040612,0.2889082098115259,True,-0.12896225719656482,0.40156924787274983,0.40156924787274983,True,-0.11834722877667658,-0.11834722877667658,-0.017454858852058705,0.11834722877667658
xgboost,race,Other,False,White,69,11,58,0.15942028985507245,0.10144927536231885,0.10144927536231885,0.5454545454545454,0.017241379310344827,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.9130434782608695,6,1,5,57,0.09347168116636001,0.26536678976455724,True,-0.1140514433727075,0.4707607285851238,0.4707607285851238,True,-0.12844823887768675,-0.12844823887768675,-0.042318742699608614,0.12844823887768675
